"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"12165","Questions About Zika | Zika virus | CDC","varicella vaccine effectiveness and duration of protection",2,"",""
"12166","Questions About Zika | Zika virus | CDC","virus zika",2,"",""
"12167","Questions About Zika | Zika virus | CDC","zika virus how long infected",2,"",""
"12168","Questions About Zika | Zika virus | CDC","which parts human body effeced by zika virus in hindi",2,"",""
"12169","Questions About Zika | Zika virus | CDC","zika early symptoms 2016",1,"",""
"12170","Questions About Zika | Zika virus | CDC","questio about ebola virus",1,"",""
"12171","Questions About Zika | Zika virus | CDC","bite mosquito but no symptoms of virus",1,"",""
"12172","Questions About Zika | Zika virus | CDC","do i have zika",1,"",""
"12173","Questions About Zika | Zika virus | CDC","when is the best time to test for zika after returning from zika area",1,"",""
"12174","Questions About Zika | Zika virus | CDC","zika virus on newborn",1,"",""
"12175","Questions About Zika | Zika virus | CDC","how long should a woman not to have pregnancy after zika virus infection?",1,"",""
"12176","Questions About Zika | Zika virus | CDC","cdc.gov\",1,"",""
"12177","Questions About Zika | Zika virus | CDC","zika virus how people handled",1,"",""
"12178","Questions About Zika | Zika virus | CDC","what county does not have zika",1,"",""
"12179","Questions About Zika | Zika virus | CDC","center",1,"",""
"12180","Questions About Zika | Zika virus | CDC","what animal was zika first noticed in",1,"",""
"12181","Questions About Zika | Zika virus | CDC","what area is know for zika virus",1,"",""
"12182","Questions About Zika | Zika virus | CDC","cdc zika testing",1,"",""
"12183","Questions About Zika | Zika virus | CDC","https://www.cdc.gov/zika/",1,"",""
"12184","Questions About Zika | Zika virus | CDC","question on zika virus",1,"",""
"12185","Questions About Zika | Zika virus | CDC","a person travelling to which of the following should be most concerned about contracting zika?",1,"",""
"12186","Questions About Zika | Zika virus | CDC","zika.cdc.gove",1,"",""
"12187","Questions About Zika | Zika virus | CDC","how does zika play a role in the early childhood centres",1,"",""
"12188","Questions About Zika | Zika virus | CDC","how do people get zikavirus",1,"",""
"12189","Questions About Zika | Zika virus | CDC","zika virus effect on children",1,"",""
"12190","Questions About Zika | Zika virus | CDC","public health timelines",1,"",""
"12191","Questions About Zika | Zika virus | CDC","people affected by the zica virus",1,"",""
"12192","Questions About Zika | Zika virus | CDC","what is ebola",1,"",""
"12193","Questions About Zika | Zika virus | CDC","zika virus test",1,"",""
"12194","Questions About Zika | Zika virus | CDC","www.cdc.gov / zika /about/questions.html",1,"",""
"12195","Questions About Zika | Zika virus | CDC","zika virus safe to travel",1,"",""
"12196","Questions About Zika | Zika virus | CDC","zika overview",1,"",""
"12197","Questions About Zika | Zika virus | CDC","get mosquito bite zika",1,"",""
"12198","Questions About Zika | Zika virus | CDC","new virus disease",1,"",""
"12199","Questions About Zika | Zika virus | CDC","which type of mosquito causes zika virus",1,"",""
"12200","Questions About Zika | Zika virus | CDC","infected with zika#xxri=3",1,"",""
"12201","Questions About Zika | Zika virus | CDC","advise line to talk about zika",1,"",""
"12202","Questions About Zika | Zika virus | CDC","zeeka virus",1,"",""
"12203","Questions About Zika | Zika virus | CDC","zika update",1,"",""
"12204","Questions About Zika | Zika virus | CDC","explain briefly on zika virus disease",1,"",""
"12205","Questions About Zika | Zika virus | CDC","what is zika ?.",1,"",""
"12206","Questions About Zika | Zika virus | CDC","oil of lemon zika",1,"",""
"12207","Questions About Zika | Zika virus | CDC","zaika virus",1,"",""
"12208","Questions About Zika | Zika virus | CDC","zika risk factors",1,"",""
"12209","Questions About Zika | Zika virus | CDC","cdc.gov/zika/about/questions.html",1,"",""
"12210","Questions About Zika | Zika virus | CDC","cdc on zika",1,"",""
"12211","Questions About Zika | Zika virus | CDC","how long does zika virus last",1,"",""
"12212","Questions About Zika | Zika virus | CDC","cdc zika virus children born to moms with zika",1,"",""
"12213","Questions About Zika | Zika virus | CDC","why are infants at risk for severe zika virus  cdc",1,"",""
"12214","Questions About Zika | Zika virus | CDC","zika without symptoms",1,"",""
"12215","Questions About Zika | Zika virus | CDC","zika virus important exam question",1,"",""
"12216","Questions About Zika | Zika virus | CDC","dcd",1,"",""
"12217","Questions About Zika | Zika virus | CDC","cdc canada",1,"",""
"12218","Questions About Zika | Zika virus | CDC","prevention from zika",1,"",""
"12219","Questions About Zika | Zika virus | CDC","ask if traveled to texas or florida",1,"",""
"12220","Questions About Zika | Zika virus | CDC","where is the zika virus found",1,"",""
"12221","Questions About Zika | Zika virus | CDC","the recent disease outbreak",1,"",""
"12222","Questions About Zika | Zika virus | CDC","question of  zika virus",1,"",""
"12223","Questions About Zika | Zika virus | CDC","zika virus faq",1,"",""
"12224","Questions About Zika | Zika virus | CDC","current health epidemics",1,"",""
"12225","Questions About Zika | Zika virus | CDC","in zica dieases",1,"",""
"12226","Questions About Zika | Zika virus | CDC","is zika permanent",1,"",""
"12227","Questions About Zika | Zika virus | CDC","dcdc.gov",1,"",""
"12228","Questions About Zika | Zika virus | CDC","how long should we protect after being in a zika infected area?",1,"",""
"12229","Questions About Zika | Zika virus | CDC","zikavirus",1,"",""
"12230","Questions About Zika | Zika virus | CDC","about zika virus",1,"",""
"12231","Questions About Zika | Zika virus | CDC","zika virus not pregnant",1,"",""
"12232","Questions About Zika | Zika virus | CDC","what can cure malaria",1,"",""
"12233","Questions About Zika | Zika virus | CDC","what do i need to know about zika",1,"",""
"12234","Questions About Zika | Zika virus | CDC","short answers to hard questions about zika virus",1,"",""
"12235","Questions About Zika | Zika virus | CDC","tb",1,"",""
"12236","Questions About Zika | Zika virus | CDC","can an",1,"",""
"12237","Questions About Zika | Zika virus | CDC","zika site:cdc.gov",1,"",""
"12238","Questions About Zika | Zika virus | CDC","zicavirus",1,"",""
"12239","Questions About Zika | Zika virus | CDC","cdc how long to wait to conceive after zika",1,"",""
"12240","Questions About Zika | Zika virus | CDC","zicker virus",1,"",""
"12241","Questions About Zika | Zika virus | CDC","canadian - how long to wait to get pregnant after traveling to.a.zika area",1,"",""
"12242","Questions About Zika | Zika virus | CDC","zika virus full form",1,"",""
"12243","Questions About Zika | Zika virus | CDC","zika viral infection",1,"",""
"12244","Questions About Zika | Zika virus | CDC","http://www.cdc.gov/zika/about/questions.html",1,"",""
"12245","Questions About Zika | Zika virus | CDC","related studies of zika virus",1,"",""
"12246","Questions About Zika | Zika virus | CDC","infect zika",1,"",""
"12247","Questions About Zika | Zika virus | CDC","zika virus questionnaire",1,"",""
"12248","Questions About Zika | Zika virus | CDC","zika virus /cdc",1,"",""
"12249","Questions About Zika | Zika virus | CDC","zika viras",1,"",""
"12250","Questions About Zika | Zika virus | CDC","cdc zika guidelines",1,"",""
"12251","Questions About Zika | Zika virus | CDC","zika virua",1,"",""
"12252","Questions About Zika | Zika virus | CDC","how long after getting bit can i get tested for zika virus",1,"",""
"12253","Questions About Zika | Zika virus | CDC","zika last case 2017",1,"",""
"12254","Questions About Zika | Zika virus | CDC","zika symptoms",1,"",""
"12255","Questions About Zika | Zika virus | CDC","although local transmission of zika has not been found in louisiana, neighboring states such as florida and texas",1,"",""
"12256","Questions About Zika | Zika virus | CDC","can you catch zika virus if not bit by moswquito",1,"",""
"12257","Questions About Zika | Zika virus | CDC","cdc usa",1,"",""
"12258","Questions About Zika | Zika virus | CDC","virus chikungunya",1,"",""
"12259","Questions About Zika | Zika virus | CDC","if i have been out of the country can i get tested for zika",1,"",""
"12260","Questions About Zika | Zika virus | CDC","chikungunya virus",1,"",""
"12261","Questions About Zika | Zika virus | CDC","mosquito zika",1,"",""
"12262","Questions About Zika | Zika virus | CDC","about quastions",1,"",""
"12263","Questions About Zika | Zika virus | CDC","what is zika virus disease",1,"",""
"12264","Questions About Zika | Zika virus | CDC","what is a zika disease",1,"",""
"12265","Questions About Zika | Zika virus | CDC","mosquitoes and west nile virus",1,"",""
"12266","Questions About Zika | Zika virus | CDC","zika map",1,"",""
"12267","Questions About Zika | Zika virus | CDC","zika virus diseases",1,"",""
"12268","Questions About Zika | Zika virus | CDC","about having zika",1,"",""
"12269","Questions About Zika | Zika virus | CDC","zika virus dangerous",1,"",""
"12270","Questions About Zika | Zika virus | CDC","cdc.gov/zika",1,"",""
"12271","Questions About Zika | Zika virus | CDC","belize zika",1,"",""
"12272","Questions About Zika | Zika virus | CDC","where not to go zika",1,"",""
"12273","Questions About Zika | Zika virus | CDC","details about jika virous",1,"",""
"12274","Questions About Zika | Zika virus | CDC","zika disease",1,"",""
"12275","Questions About Zika | Zika virus | CDC","zika areas affected",1,"",""
"12276","Questions About Zika | Zika virus | CDC","zika travel",1,"",""
"12277","Questions About Zika | Zika virus | CDC","https://www.cdc.gov/zika/intheus/florida-update.html",1,"",""
"12278","Questions About Zika | Zika virus | CDC","zika map 2017",1,"",""
"12279","Questions About Zika | Zika virus | CDC","cdc.gvo",1,"",""
"12280","Questions About Zika | Zika virus | CDC","cdc zika how long to wait",1,"",""
"12281","Questions About Zika | Zika virus | CDC","how long after i've been bitten can i transmit zika",1,"",""
"12282","Questions About Zika | Zika virus | CDC","countries & territories with active local zika virus transmiss",1,"",""
"12283","Questions About Zika | Zika virus | CDC","zika updates",1,"",""
"12284","Questions About Zika | Zika virus | CDC","center disease control zika",1,"",""
"12285","Questions About Zika | Zika virus | CDC","what illness do people get when they have zika",1,"",""
"12286","Questions About Zika | Zika virus | CDC","current news of zika fever",1,"",""
"12287","Questions About Zika | Zika virus | CDC","zika miami",1,"",""
"12288","Questions About Zika | Zika virus | CDC","summary of zika virus",1,"",""
"12289","Questions About Zika | Zika virus | CDC","zeka virus",1,"",""
"12290","Questions About Zika | Zika virus | CDC","does zi",1,"",""
"12291","Questions About Zika | Zika virus | CDC","what is the mosquito disease",1,"",""
"12292","Questions About Zika | Zika virus | CDC","will all people who become infected with zika will show symptoms",1,"",""
"12293","Questions About Zika | Zika virus | CDC","cdc zika having a baby",1,"",""
"12294","Questions About Zika | Zika virus | CDC","symptoms of zika virus",1,"",""
"12295","Questions About Zika | Zika virus | CDC","zika bahamas",1,"",""
"12296","Questions About Zika | Zika virus | CDC","is there concern for zika virus for traveling within the us",1,"",""
"12297","Questions About Zika | Zika virus | CDC","how long can you wait to get tested for zika",1,"",""
"12298","Zika and Sexual Transmission | Zika virus | CDC","::empty::",12811,"",""
"12299","Zika and Sexual Transmission | Zika virus | CDC","::unspecified::",4482,"",""
"12300","Zika and Sexual Transmission | Zika virus | CDC","sex",16,"",""
"12301","Zika and Sexual Transmission | Zika virus | CDC","zika virus",15,"",""
"12302","Zika and Sexual Transmission | Zika virus | CDC","cdc",12,"",""
"12303","Zika and Sexual Transmission | Zika virus | CDC","how long does zika stay in the body",11,"",""
"12304","Zika and Sexual Transmission | Zika virus | CDC","sex via",10,"",""
"12305","Zika and Sexual Transmission | Zika virus | CDC","zika virus sexually transmitted",9,"",""
"12306","Zika and Sexual Transmission | Zika virus | CDC","cdc zika",8,"",""
"12307","Zika and Sexual Transmission | Zika virus | CDC","oral sex",8,"",""
"12308","Zika and Sexual Transmission | Zika virus | CDC","zika transmission",7,"",""
"12309","Zika and Sexual Transmission | Zika virus | CDC","how is zika transmitted",7,"",""
"12310","Zika and Sexual Transmission | Zika virus | CDC","zika in men",6,"",""
"12311","Zika and Sexual Transmission | Zika virus | CDC","sex virus",5,"",""
"12312","Zika and Sexual Transmission | Zika virus | CDC","how long does zika last",5,"",""
"12313","Zika and Sexual Transmission | Zika virus | CDC","english sex",4,"",""
"12314","Zika and Sexual Transmission | Zika virus | CDC","is zika virus sexually transmitted",4,"",""
"12315","Zika and Sexual Transmission | Zika virus | CDC","how long does zika stay in semen",4,"",""
"12316","Zika and Sexual Transmission | Zika virus | CDC","zika virus transmission",4,"",""
"12317","Zika and Sexual Transmission | Zika virus | CDC","passing sex",4,"",""
"12318","Zika and Sexual Transmission | Zika virus | CDC","how can zika be transmitted",4,"",""
"12319","Zika and Sexual Transmission | Zika virus | CDC","testing for zika in men",3,"",""
"12320","Zika and Sexual Transmission | Zika virus | CDC","does zika virus stay in your body",3,"",""
"12321","Zika and Sexual Transmission | Zika virus | CDC","how long is zika active",3,"",""
"12322","Zika and Sexual Transmission | Zika virus | CDC","zika virus map",3,"",""
"12323","Zika and Sexual Transmission | Zika virus | CDC","zika cdc",3,"",""
"12324","Zika and Sexual Transmission | Zika virus | CDC","zika men",3,"",""
"12325","Zika and Sexual Transmission | Zika virus | CDC","zika sexual transmission",3,"",""
"12326","Zika and Sexual Transmission | Zika virus | CDC","zika",3,"",""
"12327","Zika and Sexual Transmission | Zika virus | CDC","is zika sexually transmitted",3,"",""
"12328","Zika and Sexual Transmission | Zika virus | CDC","how long does zika stay in sperm",3,"",""
"12329","Zika and Sexual Transmission | Zika virus | CDC","how many weeks to abstain from sex for zika",3,"",""
"12330","Zika and Sexual Transmission | Zika virus | CDC","zika in st lucia",3,"",""
"12331","Zika and Sexual Transmission | Zika virus | CDC","american girl sporm sex youtube. com",3,"",""
"12332","Zika and Sexual Transmission | Zika virus | CDC","html sex",2,"",""
"12333","Zika and Sexual Transmission | Zika virus | CDC","zika virus man",2,"",""
"12334","Zika and Sexual Transmission | Zika virus | CDC","how long does zika stay",2,"",""
"12335","Zika and Sexual Transmission | Zika virus | CDC","virus sex.com",2,"",""
"12336","Zika and Sexual Transmission | Zika virus | CDC","zika virus oral",2,"",""
"12337","Zika and Sexual Transmission | Zika virus | CDC","zika virus cdc",2,"",""
"12338","Zika and Sexual Transmission | Zika virus | CDC","swks woman",2,"",""
"12339","Zika and Sexual Transmission | Zika virus | CDC","zika virus husband",2,"",""
"12340","Zika and Sexual Transmission | Zika virus | CDC","how long does zika stay in a mans sperm",2,"",""
"12341","Zika and Sexual Transmission | Zika virus | CDC","zeka virus in woman",2,"",""
"12342","Zika and Sexual Transmission | Zika virus | CDC","how long to use condoms after possibly exposed to zika",2,"",""
"12343","Zika and Sexual Transmission | Zika virus | CDC","duration of zika  sperm excretion",2,"",""
"12344","Zika and Sexual Transmission | Zika virus | CDC","can you get the zika virus from giving a blow job",2,"",""
"12345","Zika and Sexual Transmission | Zika virus | CDC","oral sex zika transmission",2,"",""
"12346","Zika and Sexual Transmission | Zika virus | CDC","hpv virus",2,"",""
"12347","Zika and Sexual Transmission | Zika virus | CDC","zika virue transmition way",2,"",""
